# Core throughput as for a 48 petal starshade with ELT
# Computed by Jamila Taaki
# IWA: 54 mas, wavelength=700 nm
# OPTICAL PARAMETERS
# ----------------------------------------
#   Starshade        : HOEE, 99 m, 48 petals
#   SS–ELT distance  : 1.70e8 m  (170,000 km)
#   Geometric IWA    : 58.0 mas
#   Telescope D_eff  : 36.555 m  (area-equivalent, accounting for ELT obstruction)
#   Telescope D_outer: 39.016 m
#   Focal pixel size : 0.2 mas
# separation (mas),throughput
0,0.000000
2,0.000000
4,0.000000
6,0.000000
8,0.000000
10,0.000000
12,0.000002
14,0.000007
16,0.000028
18,0.000095
20,0.000283
22,0.000749
24,0.001793
26,0.003864
28,0.007677
30,0.014106
32,0.024026
34,0.038495
36,0.057889
38,0.081913
40,0.110121
42,0.140899
44,0.173885
46,0.207573
48,0.241756
50,0.276854
52,0.312544
54,0.348465
56,0.385159
58,0.422126
60,0.459856
62,0.496708
64,0.532523
66,0.564473
68,0.592179
70,0.614473
72,0.630658
74,0.642349
76,0.649216
78,0.652691
80,0.654149
82,0.654132
84,0.653258
86,0.652360
88,0.652022
90,0.651830
92,0.651833
94,0.652005
96,0.651924
98,0.651925
100,0.651940
400,0.651940
